Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Dankler,33,BRA,Vissel Kobe,2020,1,Vissel Kobe,Yokohama FC,90,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,2,Vissel Kobe,Sanfrecce Hiroshima,90,0,0,0,0,0,0,0,0,4,1,0,0,3,2,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,3,Sagan Tosu,Vissel Kobe,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,8,Hokkaido Consadole Sapporo,Vissel Kobe,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,9,Vissel Kobe,Vegalta Sendai,90,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0
Dankler,33,BRA,Vissel Kobe,2020,10,Kashima Antlers,Vissel Kobe,90,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,12,Urawa Red Diamonds,Vissel Kobe,90,0,0,0,0,2,0,1,0,0,1,0,1,2,2,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,14,Shonan Bellmare,Vissel Kobe,90,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,15,Kawasaki Frontale,Vissel Kobe,90,0,0,0,0,1,0,1,0,2,1,0,1,1,4,0,0,0
Dankler,33,BRA,Vissel Kobe,2020,24,Vissel Kobe,Kawasaki Frontale,90,0,1,0,0,1,0,0,0,1,0,0,2,2,2,0,0,0
