Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,2,Shonan Bellmare,Vegalta Sendai,90,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,3,Vegalta Sendai,Urawa Red Diamonds,90,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,4,Yokohama FC,Vegalta Sendai,90,0,0,0,0,1,0,1,0,2,2,0,0,1,2,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,5,Vegalta Sendai,Hokkaido Consadole Sapporo,90,1,0,0,0,1,1,0,0,2,0,0,0,1,5,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,6,Vegalta Sendai,Kawasaki Frontale,81,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,7,Kashiwa Reysol,Vegalta Sendai,90,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,8,Vegalta Sendai,Yokohama F. Marinos,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,9,Vissel Kobe,Vegalta Sendai,90,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,10,Vegalta Sendai,Shimizu S-Pulse,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,12,Cerezo Osaka,Vegalta Sendai,90,0,0,0,0,1,0,0,0,6,0,0,1,2,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,13,Sanfrecce Hiroshima,Vegalta Sendai,90,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,14,Vegalta Sendai,Gamba Osaka,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Shiihashi, Keiya",5,JPN,Vegalta Sendai,2020,15,Kashima Antlers,Vegalta Sendai,90,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
