Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,1,Cerezo Osaka,Oita Trinita,90,0,0,0,0,0,0,0,0,1,2,0,4,0,2,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,2,Oita Trinita,Sagan Tosu,90,0,0,0,0,1,1,0,0,0,2,0,4,0,1,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,3,Sanfrecce Hiroshima,Oita Trinita,90,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,4,Oita Trinita,Vissel Kobe,90,1,0,0,0,3,1,0,0,1,0,0,3,0,1,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,5,Gamba Osaka,Oita Trinita,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,7,Shimizu S-Pulse,Oita Trinita,90,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,8,Oita Trinita,Kashima Antlers,90,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,10,Oita Trinita,Yokohama F. Marinos,90,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,11,Hokkaido Consadole Sapporo,Oita Trinita,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,12,Oita Trinita,Kashiwa Reysol,90,0,0,0,0,0,0,0,0,1,2,0,4,1,1,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,13,Urawa Red Diamonds,Oita Trinita,90,0,0,0,0,0,0,0,0,1,1,0,5,0,2,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,14,Oita Trinita,FC Tokyo,90,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0
"Iwata, Tomoki",29,JPN,Oita Trinita,2020,15,Oita Trinita,Shonan Bellmare,90,0,0,0,0,2,1,0,0,0,0,0,4,0,1,0,0,0
